File,Total Lines,Code Lines,Comment Lines,Blank Lines
benches/resource_benchmarks.rs,     278,203,38,37
examples/resource_examples.rs,      76,58,13,5
src/boundary.rs,     397,246,76,75
src/capability/conversion.rs,     249,188,27,34
src/capability/mod.rs,      21,16,3,2
src/capability/unified.rs,     545,378,85,82
src/capability/verification.rs,     299,222,31,46
src/constraints.rs,      29,14,9,6
src/constraints/validation.rs,     579,389,104,86
src/content.rs,     282,197,45,40
src/domain_effect.rs,     589,409,81,99
src/domain_effect/cosmwasm_effects.rs,     606,406,94,106
src/domain_effect/domain_registry.rs,     336,210,67,59
src/domain_effect/domain_selection.rs,     253,171,43,39
src/domain_effect/evm_effects.rs,     618,419,95,104
src/domain_effect/examples.rs,     617,429,83,105
src/domain_effect/handler.rs,     687,492,110,85
src/domain_effect/mod.rs,      66,44,12,10
src/domain_effect/test.rs,     549,408,57,84
src/domain_effect/zk_effects.rs,     537,365,83,89
src/effect.rs,     396,244,78,74
src/effect_id.rs,     124,86,18,20
src/empty_effect.rs,     102,78,5,19
src/executor.rs,     532,341,116,75
src/handler.rs,     155,100,29,26
src/lib.rs,     620,412,113,95
src/random.rs,     508,357,50,101
src/repository.rs,     290,206,30,54
src/resource/access.rs,     382,257,64,61
src/resource/capability.rs,     271,210,33,28
src/resource/dependency.rs,     137,78,32,27
src/resource/effects.rs,     920,667,113,140
src/resource/examples.rs,     426,278,65,83
src/resource/implementation.rs,     539,430,50,59
src/resource/lifecycle.rs,     638,446,89,103
src/resource/locking.rs,     708,480,110,118
src/resource/mod.rs,      57,39,8,10
src/resource/tests.rs,     175,112,30,33
src/resource/tests/mod.rs,       6,1,3,2
src/resource/tests/resource_integration_test.rs,     488,342,62,84
src/storage.rs,     877,667,100,110
src/templates.rs,      15,3,8,4
src/templates/relationship_validation.rs,     202,135,36,31
src/templates/relationship_validation_tests.rs,     415,284,71,60
src/templates/state_transition.rs,     256,171,46,39
src/three_layer.rs,     414,218,110,86
src/transfer.rs,     335,249,41,45
src/types.rs,     168,108,53,7
tests/basic/mod.rs,     653,481,61,111
tests/mod.rs,       4,1,2,1
